FSR,IR
115.00,104.00
106.00,121.00
89.00,123.00
87.00,121.00
85.00,121.00
87.00,122.00
83.00,121.00
86.00,122.00
87.00,121.00
87.00,121.00
68.00,186.00
92.00,121.00
92.00,122.00
90.00,121.00
81.00,121.00
52.00,183.00
73.00,121.00
75.00,122.00
69.00,121.00
75.00,121.00
64.00,175.00
75.00,121.00
65.00,123.00
59.00,122.00
55.00,121.00
56.00,169.00
70.00,121.00
98.00,121.00
128.00,121.00
161.00,121.00
192.00,126.00
206.00,121.00
219.00,122.00
216.00,184.00
231.00,121.00
239.00,121.00
251.00,165.00
263.00,121.00
275.00,122.00
282.00,104.00
287.00,121.00
290.00,122.00
291.00,121.00
292.00,121.00
297.00,123.00
297.00,121.00
304.00,121.00
312.00,121.00
318.00,121.00
323.00,122.00
324.00,172.00
327.00,125.00
330.00,121.00
333.00,126.00
338.00,125.00
341.00,126.00
343.00,125.00
342.00,126.00
350.00,127.00
347.00,126.00
346.00,125.00
341.00,130.00
347.00,125.00
351.00,125.00
347.00,189.00
354.00,125.00
358.00,125.00
356.00,168.00
357.00,126.00
356.00,126.00
355.00,112.00
349.00,126.00
351.00,128.00
347.00,125.00
346.00,125.00
343.00,127.00
344.00,125.00
340.00,126.00
329.00,189.00
338.00,125.00
339.00,126.00
336.00,173.00
338.00,125.00
337.00,125.00
336.00,108.00
336.00,125.00
336.00,125.00
335.00,125.00
333.00,125.00
333.00,126.00
332.00,125.00
334.00,125.00
326.00,127.00
324.00,125.00
321.00,125.00
321.00,125.00
321.00,125.00
319.00,125.00
320.00,170.00
320.00,125.00
319.00,125.00
319.00,126.00
319.00,125.00
319.00,127.00
318.00,125.00
317.00,125.00
319.00,127.00
316.00,126.00
312.00,125.00
300.00,191.00
302.00,125.00
300.00,126.00
290.00,175.00
299.00,126.00
299.00,126.00
298.00,106.00
297.00,125.00
299.00,126.00
298.00,112.00
298.00,126.00
303.00,123.00
297.00,125.00
299.00,125.00
295.00,127.00
297.00,125.00
295.00,126.00
288.00,191.00
297.00,125.00
295.00,126.00
292.00,172.00
283.00,125.00
286.00,126.00
284.00,108.00
286.00,126.00
285.00,126.00
287.00,125.00
287.00,125.00
284.00,125.00
282.00,126.00
281.00,125.00
268.00,130.00
273.00,125.00
273.00,126.00
268.00,126.00
266.00,121.00
263.00,125.00
259.00,169.00
259.00,125.00
255.00,121.00
244.00,126.00
240.00,122.00
251.00,127.00
231.00,125.00
230.00,125.00
231.00,127.00
220.00,126.00
218.00,126.00
202.00,185.00
213.00,121.00
209.00,122.00
200.00,169.00
206.00,121.00
205.00,122.00
199.00,104.00
194.00,121.00
187.00,121.00
184.00,121.00
183.00,122.00
175.00,123.00
167.00,121.00
152.00,121.00
140.00,126.00
139.00,121.00
129.00,121.00
112.00,169.00
110.00,121.00
103.00,121.00
102.00,165.00
99.00,121.00
106.00,121.00
93.00,122.00
90.00,121.00
66.00,183.00
83.00,121.00
81.00,122.00
73.00,122.00
73.00,121.00
64.00,175.00
69.00,121.00
63.00,122.00
61.00,121.00
56.00,121.00
53.00,121.00
45.00,121.00
49.00,121.00
44.00,121.00
44.00,121.00
43.00,121.00
40.00,122.00
45.00,123.00
39.00,121.00
40.00,121.00
20.00,186.00
34.00,121.00
28.00,121.00
27.00,122.00
33.00,121.00
10.00,175.00
33.00,121.00
39.00,122.00
42.00,121.00
43.00,121.00
32.00,171.00
45.00,121.00
50.00,122.00
47.00,121.00
48.00,122.00
48.00,169.00
48.00,121.00
49.00,122.00
47.00,121.00
48.00,121.00
47.00,121.00
51.00,121.00
52.00,122.00
50.00,121.00
49.00,121.00
48.00,169.00
47.00,122.00
71.00,124.00
49.00,121.00
48.00,122.00
44.00,168.00
50.00,121.00
47.00,121.00
45.00,121.00
43.00,122.00
40.00,168.00
44.00,121.00
46.00,122.00
42.00,121.00
45.00,122.00
48.00,168.00
57.00,121.00
75.00,122.00
89.00,121.00
105.00,122.00
98.00,175.00
123.00,121.00
127.00,121.00
135.00,104.00
141.00,121.00
142.00,121.00
140.00,121.00
138.00,121.00
143.00,124.00
